epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,494.949,0.40726,0.29091,0.84554,0.99965,1,0.995,0.95593,0.34317,0.2426,0.82272,0.0017228,0.0017228,0.0017228
58,503.551,0.37765,0.28569,0.83956,0.99965,1,0.995,0.96122,0.27049,0.21015,0.80868,0.00171785,0.00171785,0.00171785
59,512.118,0.37854,0.28092,0.83209,0.99961,1,0.995,0.97695,0.28852,0.21909,0.81002,0.0017129,0.0017129,0.0017129
60,520.634,0.38658,0.28599,0.83309,0.99963,1,0.995,0.97588,0.27888,0.2056,0.81304,0.00170795,0.00170795,0.00170795
61,529.265,0.37704,0.27265,0.83964,0.99962,1,0.995,0.95757,0.33295,0.20872,0.82221,0.001703,0.001703,0.001703
62,537.938,0.37658,0.27267,0.8387,0.99964,1,0.995,0.96576,0.27683,0.20036,0.79848,0.00169805,0.00169805,0.00169805
63,546.563,0.36217,0.26622,0.82941,0.99965,1,0.995,0.98112,0.2651,0.21353,0.8032,0.0016931,0.0016931,0.0016931
64,555.222,0.35826,0.26602,0.82855,0.99966,1,0.995,0.96869,0.2788,0.21419,0.80381,0.00168815,0.00168815,0.00168815
65,563.806,0.36837,0.27564,0.82587,0.99965,1,0.995,0.96018,0.31259,0.22049,0.79835,0.0016832,0.0016832,0.0016832
66,572.586,0.35528,0.27207,0.82709,0.99943,1,0.995,0.98132,0.27957,0.18727,0.80849,0.00167825,0.00167825,0.00167825
67,581.567,0.37003,0.27146,0.83598,0.99965,1,0.995,0.96453,0.30906,0.21707,0.82487,0.0016733,0.0016733,0.0016733
68,590.61,0.35118,0.25927,0.82689,0.99961,1,0.995,0.97364,0.24861,0.18204,0.79487,0.00166835,0.00166835,0.00166835
69,599.267,0.36201,0.26545,0.82589,0.99966,1,0.995,0.96427,0.28495,0.20806,0.8042,0.0016634,0.0016634,0.0016634
70,607.785,0.35031,0.25858,0.82252,0.99966,1,0.995,0.97085,0.24731,0.23729,0.7957,0.00165845,0.00165845,0.00165845
71,616.343,0.33136,0.24898,0.82297,0.99965,1,0.995,0.96654,0.30051,0.2203,0.81891,0.0016535,0.0016535,0.0016535
72,624.867,0.35556,0.2653,0.82919,1,1,0.995,0.95861,0.30552,0.21385,0.80261,0.00164855,0.00164855,0.00164855
